timestamp,open,high,low,close,volume
2025-03-26 08:01:00,576.25,576.25,575.08,575.19,632.0
2025-03-26 08:02:00,575.19,575.33,575.19,575.22,3584.0
2025-03-26 08:03:00,575.23,575.23,575.14,575.14,138.0
2025-03-26 08:04:00,575.14,575.16,575.07,575.1,595.0
2025-03-26 08:05:00,575.12,575.12,575.02,575.05,996.0
2025-03-26 08:06:00,575.06,575.13,575.02,575.05,91.0
2025-03-26 08:07:00,575.06,575.07,574.79,574.79,1205.0
2025-03-26 08:08:00,574.83,574.93,574.8,574.9,362.0
2025-03-26 08:09:00,574.95,575.03,574.95,575.01,154.0
2025-03-26 08:10:00,575.03,575.03,574.93,574.99,20.0
2025-03-26 08:11:00,575.06,575.06,574.83,574.83,411.0
2025-03-26 08:12:00,574.86,574.88,574.82,574.87,557.0
2025-03-26 08:13:00,574.81,574.81,574.48,574.6,1145.0
2025-03-26 08:14:00,574.75,574.82,574.75,574.81,552.0
2025-03-26 08:15:00,574.8,574.86,574.76,574.8,2172.0
2025-03-26 08:16:00,574.86,574.9,574.8,574.8,172.0
2025-03-26 08:17:00,574.88,574.91,574.64,574.64,210.0
2025-03-26 08:18:00,574.64,574.64,574.64,574.64,7.0
2025-03-26 08:19:00,574.67,574.67,574.59,574.66,602.0
2025-03-26 08:20:00,574.52,574.67,574.5,574.67,283.0
2025-03-26 08:21:00,574.56,574.64,574.49,574.63,753.0
2025-03-26 08:22:00,574.66,574.73,574.66,574.73,134.0
2025-03-26 08:23:00,574.74,574.74,574.7,574.7,101.0
2025-03-26 08:24:00,574.74,574.8,574.7,574.7,461.0
2025-03-26 08:25:00,574.73,574.73,574.69,574.69,27.0
2025-03-26 08:26:00,574.78,574.89,574.78,574.86,1067.0
2025-03-26 08:27:00,574.83,574.83,574.8,574.8,3.0
2025-03-26 08:28:00,574.88,574.89,574.8,574.81,504.0
2025-03-26 08:29:00,574.91,574.92,574.85,574.85,186.0
2025-03-26 08:30:00,574.85,574.88,574.83,574.83,352.0
2025-03-26 08:31:00,574.81,575.04,574.81,575.04,90.0
2025-03-26 08:32:00,574.98,574.98,574.93,574.96,321.0
2025-03-26 08:33:00,574.99,575.03,574.99,575.03,516.0
2025-03-26 08:34:00,574.98,575.06,574.98,575.03,41.0
2025-03-26 08:35:00,575.09,575.14,575.06,575.08,460.0
2025-03-26 08:36:00,575.12,575.12,575.03,575.11,481.0
2025-03-26 08:37:00,575.1,575.14,575.08,575.08,118.0
2025-03-26 08:38:00,575.09,575.09,575.0,575.0,197.0
2025-03-26 08:39:00,575.01,575.01,575.01,575.01,218.0
2025-03-26 08:40:00,575.05,575.05,575.01,575.01,20.0
2025-03-26 08:41:00,574.96,575.0,574.96,575.0,8.0
2025-03-26 08:42:00,575.0,575.03,575.0,575.03,21.0
2025-03-26 08:43:00,575.1,575.18,575.06,575.09,96.0
2025-03-26 08:44:00,575.15,575.22,575.12,575.21,300.0
2025-03-26 08:45:00,575.09,575.09,575.04,575.09,246.0
2025-03-26 08:46:00,575.08,575.08,574.94,575.05,226.0
2025-03-26 08:47:00,575.06,575.06,574.99,575.05,202.0
2025-03-26 08:48:00,574.97,574.97,574.83,574.84,989.0
2025-03-26 08:49:00,574.8,574.8,574.7,574.7,249.0
2025-03-26 08:50:00,574.71,574.76,574.71,574.76,67.0
2025-03-26 08:51:00,574.75,574.83,574.7,574.7,487.0
2025-03-26 08:52:00,574.78,574.78,574.72,574.73,56.0
2025-03-26 08:53:00,574.8,574.86,574.8,574.86,146.0
2025-03-26 08:54:00,574.72,574.72,574.72,574.72,21.0
2025-03-26 08:55:00,574.65,574.68,574.61,574.61,187.0
2025-03-26 08:56:00,574.63,574.76,574.63,574.76,30.0
2025-03-26 08:57:00,574.69,574.75,574.69,574.72,168.0
2025-03-26 08:58:00,574.79,574.79,574.79,574.79,125.0
2025-03-26 08:59:00,574.78,574.78,574.71,574.75,282.0
2025-03-26 09:00:00,574.68,574.72,574.68,574.72,33.0
2025-03-26 09:01:00,574.75,574.78,574.63,574.78,307.0
2025-03-26 09:02:00,574.79,574.8,574.72,574.8,1272.0
2025-03-26 09:04:00,574.75,574.88,574.75,574.88,45.0
2025-03-26 09:05:00,574.79,574.79,574.7,574.7,34.0
2025-03-26 09:06:00,574.67,574.72,574.61,574.61,3074.0
2025-03-26 09:07:00,574.6,574.69,574.58,574.69,305.0
2025-03-26 09:08:00,574.72,574.96,574.72,574.92,209.0
2025-03-26 09:09:00,574.93,574.97,574.92,574.92,281.0
2025-03-26 09:10:00,574.92,574.97,574.89,574.9,909.0
2025-03-26 09:11:00,574.9,574.93,574.88,574.93,83.0
2025-03-26 09:12:00,574.98,575.04,574.98,575.04,80.0
2025-03-26 09:13:00,574.91,574.91,574.85,574.86,229.0
2025-03-26 09:14:00,574.87,574.87,574.87,574.87,32.0
2025-03-26 09:16:00,574.95,574.97,574.95,574.97,21.0
2025-03-26 09:17:00,574.86,574.86,574.86,574.86,1.0
2025-03-26 09:18:00,574.91,574.91,574.87,574.87,68.0
2025-03-26 09:19:00,574.83,574.83,574.75,574.77,851.0
2025-03-26 09:20:00,574.75,574.75,574.64,574.64,1532.0
2025-03-26 09:21:00,574.62,574.62,574.59,574.6,46.0
2025-03-26 09:22:00,574.55,574.57,574.52,574.57,82.0
2025-03-26 09:23:00,574.57,574.57,574.55,574.55,537.0
